;Simbolico pasaportes

I0.0;S900; EMERGENCIA ARMARIO ACTUADA
I73.2;S307 Dch.; Confirmar  pasaportes 3-7 Dch.

I73.3;S407 Dch.; Confirmar  pasaportes 4-7 Dch.

I73.4;S507 Dch.; Confirmar  pasaportes 5-7 Dch.

I73.5;S607 Dch.; Confirmar  pasaportes 6-7 Dch.

I73.6;S707 Dch.; Confirmar  pasaportes 7-7 Dch.

I73.7;S807 Dch.; Confirmar  pasaportes 8-7 Dch.

I74.0;S108 Dch.; Confirmar  pasaportes 1-8 Dch.

I74.1;S208 Dch.; Confirmar  pasaportes 2-8 Dch.

I74.2;S308 Dch.; Confirmar  pasaportes 3-8 Dch.

I74.3;S408 Dch.; Confirmar  pasaportes 4-8 Dch.

I74.4;S508 Dch.; Confirmar  pasaportes 5-8 Dch.

I74.5;S608 Dch.; Confirmar  pasaportes 6-8 Dch.

I74.6;S708 Dch.; Confirmar  pasaportes 7-8 Dch.

I74.7;S808 Dch.; Confirmar  pasaportes 8-8 Dch.

I75.0;S109 Dch.; Confirmar  pasaportes 1-9 Dch.

I75.1;S209 Dch.; Confirmar  pasaportes 2-9 Dch.

I75.2;S309 Dch.; Confirmar  pasaportes 3-9 Dch.

I75.3;S409 Dch.; Confirmar  pasaportes 4-9 Dch.

I75.4;S509 Dch.; Confirmar  pasaportes 5-9 Dch.

I75.5;S609 Dch.; Confirmar  pasaportes 6-9 Dch.

I75.6;S709 Dch.; Confirmar  pasaportes 7-9 Dch.

I75.7;S809 Dch.; Confirmar  pasaportes 8-9 Dch.

I76.0;S110 Dch.; Confirmar  pasaportes 1-10 Dch.

I76.1;S210 Dch.; Confirmar  pasaportes 2-10 Dch.

I76.2;S310 Dch.; Confirmar  pasaportes 3-10 Dch.

I76.3;S410 Dch.; Confirmar  pasaportes 4-10 Dch.

I76.4;S510 Dch.; Confirmar  pasaportes 5-10 Dch.

I76.5;S610 Dch.; Confirmar  pasaportes 6-10 Dch.

I76.6;S710 Dch.; Confirmar  pasaportes 7-10 Dch.

I76.7;S810 Dch.; Confirmar  pasaportes 8-10 Dch.

I77.0;S111 Dch.; Confirmar  pasaportes 1-11 Dch.

I77.1;S211 Dch.; Confirmar  pasaportes 2-11 Dch.

I77.2;S311 Dch.; Confirmar  pasaportes 3-11 Dch.

I77.3;S411 Dch.; Confirmar  pasaportes 4-11 Dch.

I77.4;S511 Dch.; Confirmar  pasaportes 5-11 Dch.

I77.5;S611 Dch.; Confirmar  pasaportes 6-11 Dch.

I77.6;S711 Dch.; Confirmar  pasaportes 7-11 Dch.

I77.7;S811 Dch.; Confirmar  pasaportes 8-11 Dch.

I78.0;S112 Dch.; Confirmar  pasaportes 1-12 Dch.

I78.1;S212 Dch.; Confirmar  pasaportes 2-12 Dch.

I78.2;S312 Dch.; Confirmar  pasaportes 3-12 Dch.

I78.3;S412 Dch.; Confirmar  pasaportes 4-12 Dch.

I78.4;S512 Dch.; Confirmar  pasaportes 5-12 Dch.

I78.5;S612 Dch.; Confirmar  pasaportes 6-12 Dch.

I78.6;S712 Dch.; Confirmar  pasaportes 7-12 Dch.

I78.7;S812 Dch.; Confirmar  pasaportes 8-12 Dch.

I79.0;S113 Dch.; Confirmar  pasaportes 1-13 Dch.

I79.1;S213 Dch.; Confirmar  pasaportes 2-13 Dch.

I79.2;S313 Dch.; Confirmar  pasaportes 3-13 Dch.

I79.3;S413 Dch.; Confirmar  pasaportes 4-13 Dch.

I79.4;S513 Dch.; Confirmar  pasaportes 5-13 Dch.

I79.5;S613 Dch.; Confirmar  pasaportes 6-13 Dch.

I79.6;S713 Dch.; Confirmar  pasaportes 7-13 Dch.

I79.7;S813 Dch.; Confirmar  pasaportes 8-13 Dch.

I80.0;S114 Dch.; Confirmar  pasaportes 1-14 Dch.

I80.1;S214 Dch.; Confirmar  pasaportes 2-14 Dch.

I80.2;S314 Dch.; Confirmar  pasaportes 3-14 Dch.

I80.3;S414 Dch.; Confirmar  pasaportes 4-14 Dch.

I80.4;S514 Dch.; Confirmar  pasaportes 5-14 Dch.

I80.5;S614 Dch.; Confirmar  pasaportes 6-14 Dch.

I80.6;S714 Dch.; Confirmar  pasaportes 7-14 Dch.

I80.7;S814 Dch.; Confirmar  pasaportes 8-14 Dch.

I81.0;S115 Dch.; Confirmar  pasaportes 1-15 Dch.

I81.1;S215 Dch.; Confirmar  pasaportes 2-15 Dch.

I81.2;S315 Dch.; Confirmar  pasaportes 3-15 Dch.

I81.3;S415 Dch.; Confirmar  pasaportes 4-15 Dch.

I81.4;S515 Dch.; Confirmar  pasaportes 5-15 Dch.

I81.5;S615 Dch.; Confirmar  pasaportes 6-15 Dch.

I81.6;S715 Dch.; Confirmar  pasaportes 7-15 Dch.

I81.7;S815 Dch.; Confirmar  pasaportes 8-15 Dch.

I82.0;Input82.0;Input82.0

I82.1;Input82.1;Input82.1

I82.2;Input82.2;Input82.2

I82.3;Input82.3;Input82.3

I82.4;Input82.4;Input82.4

I82.5;Input82.5;Input82.5

I82.6;Input82.6;Input82.6

I82.7;Input82.7;Input82.7

I83.0;B804;PRESENCIA ENTRADA TOLVA

I83.1;B410A;UÑA IZQUIERDA ABIERTA

I83.2;B301A;EMPUJADOR TRABAJO

I83.3;B201A;CERRADOR TRABAJO

I83.4;B301B;EMPUJADOR REPOSO

I83.5;B201B;CERRADOR REPOSO

I83.6;B805;INDUCTIVO POSICIONAMIENTO

I83.7;B807;PRESENCIA COGIDA

I84.0;B303A;EMPUJADOR RECHAZO TRABAJO

I84.1;B310A;GIRO ARRIBA

I84.2;B303B;EMPUJADOR RECHAZO REPOSO

I84.3;B310B;GIRO ABAJO

I84.4;B410B;UÑA DERECHA ABIERTA

I84.5;B502A;GIRO POSICIÓN 1

I84.6;B502B;GIRO POSICIÓN 2

I84.7;Input84.7;Input84.7

I85.0;Input85.0;Input85.0

I85.1;Input85.1;Input85.1

I85.2;Input85.2;Input85.2

I85.3;Input85.3;Input85.3

I85.4;Input85.4;Input85.4

I85.5;Input85.5;Input85.5

I85.6;Input85.6;Input85.6

I85.7;Input85.7;Input85.7

I86.0;Input86.0;Input86.0

I86.1;Input86.1;Input86.1

I86.2;Input86.2;Input86.2

I86.3;Input86.3;Input86.3

I86.4;Input86.4;Input86.4

I86.5;Input86.5;Input86.5

I86.6;Input86.6;Input86.6

I86.7;Input86.7;Input86.7

I87.0;Input87.0;Input87.0

I87.1;Input87.1;Input87.1

I87.2;Input87.2;Input87.2

I87.3;Input87.3;Input87.3

I87.4;Input87.4;Input87.4

I87.5;Input87.5;Input87.5

I87.6;Input87.6;Input87.6

I87.7;Input87.7;Input87.7

I88.0;Input88.0;Input88.0

I88.1;Input88.1;Input88.1

I88.2;Input88.2;Input88.2

I88.3;Input88.3;Input88.3

I88.4;Input88.4;Input88.4

I88.5;Input88.5;Input88.5

I88.6;Input88.6;Input88.6

I88.7;Input88.7;Input88.7

I89.0;Input89.0;Input89.0

I89.1;Input89.1;Input89.1

I89.2;Input89.2;Input89.2

I89.3;Input89.3;Input89.3

I89.4;Input89.4;Input89.4

I89.5;Input89.5;Input89.5

I89.6;Input89.6;Input89.6

I89.7;Input89.7;Input89.7

I90.0;Input90.0;Input90.0

I90.1;Input90.1;Input90.1

I90.2;Input90.2;Input90.2

I90.3;Input90.3;Input90.3

I90.4;Input90.4;Input90.4

I90.5;Input90.5;Input90.5

I90.6;Input90.6;Input90.6

I90.7;Input90.7;Input90.7

I91.0;Input91.0;Input91.0

I91.1;Input91.1;Input91.1

I91.2;Input91.2;Input91.2

I91.3;Input91.3;Input91.3

I91.4;Input91.4;Input91.4

I91.5;Input91.5;Input91.5

I91.6;Input91.6;Input91.6

I91.7;Input91.7;Input91.7

I92.0;Input92.0;Input92.0

I92.1;Input92.1;Input92.1

I92.2;Input92.2;Input92.2

I92.3;Input92.3;Input92.3

I92.4;Input92.4;Input92.4

I92.5;Input92.5;Input92.5

I92.6;Input92.6;Input92.6

I92.7;Input92.7;Input92.7

I93.0;Input93.0;Input93.0

I93.1;Input93.1;Input93.1

I93.2;Input93.2;Input93.2

I93.3;Input93.3;Input93.3

I93.4;Input93.4;Input93.4

I93.5;Input93.5;Input93.5

I93.6;Input93.6;Input93.6

I93.7;Input93.7;Input93.7

I94.0;Input94.0;Input94.0

I94.1;Input94.1;Input94.1

I94.2;Input94.2;Input94.2

I94.3;Input94.3;Input94.3

I94.4;Input94.4;Input94.4

I94.5;Input94.5;Input94.5

I94.6;Input94.6;Input94.6

I94.7;Input94.7;Input94.7

I95.0;Input95.0;Input95.0

I95.1;Input95.1;Input95.1

I95.2;Input95.2;Input95.2

I95.3;Input95.3;Input95.3

I95.4;Input95.4;Input95.4

I95.5;Input95.5;Input95.5

I95.6;Input95.6;Input95.6

I95.7;Input95.7;Input95.7

I96.0;Input96.0;Input96.0

I96.1;Input96.1;Input96.1

I96.2;Input96.2;Input96.2

I96.3;Input96.3;Input96.3

I96.4;Input96.4;Input96.4

I96.5;Input96.5;Input96.5

I96.6;Input96.6;Input96.6

I96.7;Input96.7;Input96.7

I97.0;Input97.0;Input97.0

I97.1;Input97.1;Input97.1

I97.2;Input97.2;Input97.2

I97.3;Input97.3;Input97.3

I97.4;Input97.4;Input97.4

I97.5;Input97.5;Input97.5

I97.6;Input97.6;Input97.6

I97.7;Input97.7;Input97.7

I98.0;Input98.0;Input98.0

I98.1;Input98.1;Input98.1

I98.2;Input98.2;Input98.2

I98.3;Input98.3;Input98.3

I98.4;Input98.4;Input98.4

I98.5;Input98.5;Input98.5

I98.6;Input98.6;Input98.6

I98.7;Input98.7;Input98.7

I99.0;Input99.0;Input99.0

I99.1;Input99.1;Input99.1

I99.2;Input99.2;Input99.2

I99.3;Input99.3;Input99.3

I99.4;Input99.4;Input99.4

I99.5;Input99.5;Input99.5

I99.6;Input99.6;Input99.6

I99.7;Input99.7;Input99.7

I100.0;Input100.0;Input100.0

I100.1;Input100.1;Input100.1

I100.2;Input100.2;Input100.2

I100.3;Input100.3;Input100.3

I100.4;Input100.4;Input100.4

I100.5;Input100.5;Input100.5

I100.6;Input100.6;Input100.6

I100.7;Input100.7;Input100.7

I101.0;Input101.0;Input101.0

I101.1;Input101.1;Input101.1

I101.2;Input101.2;Input101.2

I101.3;Input101.3;Input101.3

I101.4;Input101.4;Input101.4

I101.5;Input101.5;Input101.5

I101.6;Input101.6;Input101.6

I101.7;Input101.7;Input101.7

I102.0;Input102.0;Input102.0

I102.1;Input102.1;Input102.1

I102.2;Input102.2;Input102.2

I102.3;Input102.3;Input102.3

I102.4;Input102.4;Input102.4

I102.5;Input102.5;Input102.5

I102.6;Input102.6;Input102.6

I102.7;Input102.7;Input102.7

I103.0;Input103.0;Input103.0

I103.1;Input103.1;Input103.1

I103.2;Input103.2;Input103.2

I103.3;Input103.3;Input103.3

I103.4;Input103.4;Input103.4

I103.5;Input103.5;Input103.5

I103.6;Input103.6;Input103.6

I103.7;Input103.7;Input103.7

I104.0;Input104.0;Input104.0

I104.1;Input104.1;Input104.1

I104.2;Input104.2;Input104.2

I104.3;Input104.3;Input104.3

I104.4;Input104.4;Input104.4

I104.5;Input104.5;Input104.5

I104.6;Input104.6;Input104.6

I104.7;Input104.7;Input104.7

I105.0;Input105.0;Input105.0

I105.1;Input105.1;Input105.1

I105.2;Input105.2;Input105.2

I105.3;Input105.3;Input105.3

I105.4;Input105.4;Input105.4

I105.5;Input105.5;Input105.5

I105.6;Input105.6;Input105.6

I105.7;Input105.7;Input105.7

I106.0;Input106.0;Input106.0

I106.1;Input106.1;Input106.1

I106.2;Input106.2;Input106.2

I106.3;Input106.3;Input106.3

I106.4;Input106.4;Input106.4

I106.5;Input106.5;Input106.5

I106.6;Input106.6;Input106.6

I106.7;Input106.7;Input106.7

I107.0;Input107.0;Input107.0

I107.1;Input107.1;Input107.1

I107.2;Input107.2;Input107.2

I107.3;Input107.3;Input107.3

I107.4;Input107.4;Input107.4

I107.5;Input107.5;Input107.5

I107.6;Input107.6;Input107.6

I107.7;Input107.7;Input107.7

I108.0;Input108.0;Input108.0

I108.1;Input108.1;Input108.1

I108.2;Input108.2;Input108.2

I108.3;Input108.3;Input108.3

I108.4;Input108.4;Input108.4

I108.5;Input108.5;Input108.5

I108.6;Input108.6;Input108.6

I108.7;Input108.7;Input108.7

I109.0;Input109.0;Input109.0

I109.1;Input109.1;Input109.1

I109.2;Input109.2;Input109.2

I109.3;Input109.3;Input109.3

I109.4;Input109.4;Input109.4

I109.5;Input109.5;Input109.5

I109.6;Input109.6;Input109.6

I109.7;Input109.7;Input109.7

I110.0;Input110.0;Input110.0

I110.1;Input110.1;Input110.1

I110.2;Input110.2;Input110.2

I110.3;Input110.3;Input110.3

I110.4;Input110.4;Input110.4

I110.5;Input110.5;Input110.5

I110.6;Input110.6;Input110.6

I110.7;Input110.7;Input110.7

I111.0;Input111.0;Input111.0

I111.1;Input111.1;Input111.1

I111.2;Input111.2;Input111.2

I111.3;Input111.3;Input111.3

I111.4;Input111.4;Input111.4

I111.5;Input111.5;Input111.5

I111.6;Input111.6;Input111.6

I111.7;Input111.7;Input111.7

I112.0;Input112.0;Input112.0

I112.1;Input112.1;Input112.1

I112.2;Input112.2;Input112.2

I112.3;Input112.3;Input112.3

I112.4;Input112.4;Input112.4

I112.5;Input112.5;Input112.5

I112.6;Input112.6;Input112.6

I112.7;Input112.7;Input112.7

I113.0;Input113.0;Input113.0

I113.1;Input113.1;Input113.1

I113.2;Input113.2;Input113.2

I113.3;Input113.3;Input113.3

I113.4;Input113.4;Input113.4

I113.5;Input113.5;Input113.5

I113.6;Input113.6;Input113.6

I113.7;Input113.7;Input113.7

I114.0;Input114.0;Input114.0

I114.1;Input114.1;Input114.1

I114.2;Input114.2;Input114.2

I114.3;Input114.3;Input114.3

I114.4;Input114.4;Input114.4

I114.5;Input114.5;Input114.5

I114.6;Input114.6;Input114.6

I114.7;Input114.7;Input114.7

I115.0;Input115.0;Input115.0

I115.1;Input115.1;Input115.1

I115.2;Input115.2;Input115.2

I115.3;Input115.3;Input115.3

I115.4;Input115.4;Input115.4

I115.5;Input115.5;Input115.5

I115.6;Input115.6;Input115.6

I115.7;Input115.7;Input115.7

I116.0;Input116.0;Input116.0

I116.1;Input116.1;Input116.1

I116.2;Input116.2;Input116.2

I116.3;Input116.3;Input116.3

I116.4;Input116.4;Input116.4

I116.5;Input116.5;Input116.5

I116.6;Input116.6;Input116.6

I116.7;Input116.7;Input116.7

I117.0;Input117.0;Input117.0

I117.1;Input117.1;Input117.1

I117.2;Input117.2;Input117.2

I117.3;Input117.3;Input117.3

I117.4;Input117.4;Input117.4

I117.5;Input117.5;Input117.5

I117.6;Input117.6;Input117.6

I117.7;Input117.7;Input117.7

I118.0;Input118.0;Input118.0

I118.1;Input118.1;Input118.1

I118.2;Input118.2;Input118.2

I118.3;Input118.3;Input118.3

I118.4;Input118.4;Input118.4

I118.5;Input118.5;Input118.5

I118.6;Input118.6;Input118.6

I118.7;Input118.7;Input118.7

I119.0;Input119.0;Input119.0

I119.1;Input119.1;Input119.1

I119.2;Input119.2;Input119.2

I119.3;Input119.3;Input119.3

I119.4;Input119.4;Input119.4

I119.5;Input119.5;Input119.5

I119.6;Input119.6;Input119.6

I119.7;Input119.7;Input119.7

I120.0;Input120.0;Input120.0

I120.1;Input120.1;Input120.1

I120.2;Input120.2;Input120.2

I120.3;Input120.3;Input120.3

I120.4;Input120.4;Input120.4

I120.5;Input120.5;Input120.5

I120.6;Input120.6;Input120.6

I120.7;Input120.7;Input120.7

I121.0;Input121.0;Input121.0

I121.1;Input121.1;Input121.1

I121.2;Input121.2;Input121.2

I121.3;Input121.3;Input121.3

I121.4;Input121.4;Input121.4

I121.5;Input121.5;Input121.5

I121.6;Input121.6;Input121.6

I121.7;Input121.7;Input121.7

I122.0;Input122.0;Input122.0

I122.1;Input122.1;Input122.1

I122.2;Input122.2;Input122.2

I122.3;Input122.3;Input122.3

I122.4;Input122.4;Input122.4

I122.5;Input122.5;Input122.5

I122.6;Input122.6;Input122.6

I122.7;Input122.7;Input122.7

I123.0;Input123.0;Input123.0

I123.1;Input123.1;Input123.1

I123.2;Input123.2;Input123.2

I123.3;Input123.3;Input123.3

I123.4;Input123.4;Input123.4

I123.5;Input123.5;Input123.5

I123.6;Input123.6;Input123.6

I123.7;Input123.7;Input123.7

I124.0;Input124.0;Input124.0

I124.1;Input124.1;Input124.1

I124.2;Input124.2;Input124.2

I124.3;Input124.3;Input124.3

I124.4;Input124.4;Input124.4

I124.5;Input124.5;Input124.5

I124.6;Input124.6;Input124.6

I124.7;Input124.7;Input124.7

I125.0;Input125.0;Input125.0

I125.1;Input125.1;Input125.1

I125.2;Input125.2;Input125.2

I125.3;Input125.3;Input125.3

I125.4;Input125.4;Input125.4

I125.5;Input125.5;Input125.5

I125.6;Input125.6;Input125.6

I125.7;Input125.7;Input125.7

I126.0;Input126.0;Input126.0

I126.1;Input126.1;Input126.1

I126.2;Input126.2;Input126.2

I126.3;Input126.3;Input126.3

I126.4;Input126.4;Input126.4

I126.5;Input126.5;Input126.5

I126.6;Input126.6;Input126.6

I126.7;Input126.7;Input126.7

I127.0;Input127.0;Input127.0

I127.1;Input127.1;Input127.1

I127.2;Input127.2;Input127.2

I127.3;Input127.3;Input127.3

I127.4;Input127.4;Input127.4

I127.5;Input127.5;Input127.5

I127.6;Input127.6;Input127.6

I127.7;Input127.7;Input127.7

I128.0;Input128.0;Input128.0

I128.1;Input128.1;Input128.1

I128.2;Input128.2;Input128.2

I128.3;Input128.3;Input128.3

I128.4;Input128.4;Input128.4

I128.5;Input128.5;Input128.5

I128.6;Input128.6;Input128.6

I128.7;Input128.7;Input128.7

I129.0;Input129.0;Input129.0

I129.1;Input129.1;Input129.1

I129.2;Input129.2;Input129.2

I129.3;Input129.3;Input129.3

I129.4;Input129.4;Input129.4

I129.5;Input129.5;Input129.5

I129.6;Input129.6;Input129.6

I129.7;Input129.7;Input129.7

I130.0;Input130.0;Input130.0

I130.1;Input130.1;Input130.1

I130.2;Input130.2;Input130.2

I130.3;Input130.3;Input130.3

I130.4;Input130.4;Input130.4

I130.5;Input130.5;Input130.5

I130.6;Input130.6;Input130.6

I130.7;Input130.7;Input130.7

I131.0;Input131.0;Input131.0

I131.1;Input131.1;Input131.1

I131.2;Input131.2;Input131.2

I131.3;Input131.3;Input131.3

I131.4;Input131.4;Input131.4

I131.5;Input131.5;Input131.5

I131.6;Input131.6;Input131.6

I131.7;Input131.7;Input131.7

I132.0;Input132.0;Input132.0

I132.1;Input132.1;Input132.1

I132.2;Input132.2;Input132.2

I132.3;Input132.3;Input132.3

I132.4;Input132.4;Input132.4

I132.5;Input132.5;Input132.5

I132.6;Input132.6;Input132.6

I132.7;Input132.7;Input132.7

I133.0;Input133.0;Input133.0

I133.1;Input133.1;Input133.1

I133.2;Input133.2;Input133.2

I133.3;Input133.3;Input133.3

I133.4;Input133.4;Input133.4

I133.5;Input133.5;Input133.5

I133.6;Input133.6;Input133.6

I133.7;Input133.7;Input133.7

I134.0;Input134.0;Input134.0

I134.1;Input134.1;Input134.1

I134.2;Input134.2;Input134.2

I134.3;Input134.3;Input134.3

I134.4;Input134.4;Input134.4

I134.5;Input134.5;Input134.5

I134.6;Input134.6;Input134.6

I134.7;Input134.7;Input134.7

I135.0;Input135.0;Input135.0

I135.1;Input135.1;Input135.1

I135.2;Input135.2;Input135.2

I135.3;Input135.3;Input135.3

I135.4;Input135.4;Input135.4

I135.5;Input135.5;Input135.5

I135.6;Input135.6;Input135.6

I135.7;Input135.7;Input135.7

I136.0;Input136.0;Input136.0

I136.1;Input136.1;Input136.1

I136.2;Input136.2;Input136.2

I136.3;Input136.3;Input136.3

I136.4;Input136.4;Input136.4

I136.5;Input136.5;Input136.5

I136.6;Input136.6;Input136.6

I136.7;Input136.7;Input136.7

I137.0;Input137.0;Input137.0

I137.1;Input137.1;Input137.1

I137.2;Input137.2;Input137.2

I137.3;Input137.3;Input137.3

I137.4;Input137.4;Input137.4

I137.5;Input137.5;Input137.5

I137.6;Input137.6;Input137.6

I137.7;Input137.7;Input137.7

I138.0;Input138.0;Input138.0

I138.1;Input138.1;Input138.1

I138.2;Input138.2;Input138.2

I138.3;Input138.3;Input138.3

I138.4;Input138.4;Input138.4

I138.5;Input138.5;Input138.5

I138.6;Input138.6;Input138.6

I138.7;Input138.7;Input138.7

I139.0;Input139.0;Input139.0

I139.1;Input139.1;Input139.1

I139.2;Input139.2;Input139.2

I139.3;Input139.3;Input139.3

I139.4;Input139.4;Input139.4

I139.5;Input139.5;Input139.5

I139.6;Input139.6;Input139.6

I139.7;Input139.7;Input139.7

I140.0;Input140.0;Input140.0

I140.1;Input140.1;Input140.1

I140.2;Input140.2;Input140.2

I140.3;Input140.3;Input140.3

I140.4;Input140.4;Input140.4

I140.5;Input140.5;Input140.5

I140.6;Input140.6;Input140.6

I140.7;Input140.7;Input140.7

I141.0;Input141.0;Input141.0

I141.1;Input141.1;Input141.1

I141.2;Input141.2;Input141.2

I141.3;Input141.3;Input141.3

I141.4;Input141.4;Input141.4

I141.5;Input141.5;Input141.5

I141.6;Input141.6;Input141.6

I141.7;Input141.7;Input141.7

I142.0;Input142.0;Input142.0

I142.1;Input142.1;Input142.1

I142.2;Input142.2;Input142.2

I142.3;Input142.3;Input142.3

I142.4;Input142.4;Input142.4

I142.5;Input142.5;Input142.5

I142.6;Input142.6;Input142.6

I142.7;Input142.7;Input142.7

I143.0;Input143.0;Input143.0

I143.1;Input143.1;Input143.1

I143.2;Input143.2;Input143.2

I143.3;Input143.3;Input143.3

I143.4;Input143.4;Input143.4

I143.5;Input143.5;Input143.5

I143.6;Input143.6;Input143.6

I143.7;Input143.7;Input143.7

I144.0;Input144.0;Input144.0

I144.1;Input144.1;Input144.1

I144.2;Input144.2;Input144.2

I144.3;Input144.3;Input144.3

I144.4;Input144.4;Input144.4

I144.5;Input144.5;Input144.5

I144.6;Input144.6;Input144.6

I144.7;Input144.7;Input144.7

I145.0;Input145.0;Input145.0

I145.1;Input145.1;Input145.1

I145.2;Input145.2;Input145.2

I145.3;Input145.3;Input145.3

I145.4;Input145.4;Input145.4

I145.5;Input145.5;Input145.5

I145.6;Input145.6;Input145.6

I145.7;Input145.7;Input145.7

I146.0;Input146.0;Input146.0

I146.1;Input146.1;Input146.1

I146.2;Input146.2;Input146.2

I146.3;Input146.3;Input146.3

I146.4;Input146.4;Input146.4

I146.5;Input146.5;Input146.5

I146.6;Input146.6;Input146.6

I146.7;Input146.7;Input146.7

I147.0;Input147.0;Input147.0

I147.1;Input147.1;Input147.1

I147.2;Input147.2;Input147.2

I147.3;Input147.3;Input147.3

I147.4;Input147.4;Input147.4

I147.5;Input147.5;Input147.5

I147.6;Input147.6;Input147.6

I147.7;Input147.7;Input147.7

I148.0;Input148.0;Input148.0

I148.1;Input148.1;Input148.1

I148.2;Input148.2;Input148.2

I148.3;Input148.3;Input148.3

I148.4;Input148.4;Input148.4

I148.5;Input148.5;Input148.5

I148.6;Input148.6;Input148.6

I148.7;Input148.7;Input148.7

I149.0;Input149.0;Input149.0

I149.1;Input149.1;Input149.1

I149.2;Input149.2;Input149.2

I149.3;Input149.3;Input149.3

I149.4;Input149.4;Input149.4

I149.5;Input149.5;Input149.5

I149.6;Input149.6;Input149.6

I149.7;Input149.7;Input149.7

I150.0;Input150.0;Input150.0

I150.1;Input150.1;Input150.1

I150.2;Input150.2;Input150.2

I150.3;Input150.3;Input150.3

I150.4;Input150.4;Input150.4

I150.5;Input150.5;Input150.5

I150.6;Input150.6;Input150.6

I150.7;Input150.7;Input150.7

I151.0;Input151.0;Input151.0

I151.1;Input151.1;Input151.1

I151.2;Input151.2;Input151.2

I151.3;Input151.3;Input151.3

I151.4;Input151.4;Input151.4

I151.5;Input151.5;Input151.5

I151.6;Input151.6;Input151.6

I151.7;Input151.7;Input151.7

I152.0;Input152.0;Input152.0

I152.1;Input152.1;Input152.1

I152.2;Input152.2;Input152.2

I152.3;Input152.3;Input152.3

I152.4;Input152.4;Input152.4

I152.5;Input152.5;Input152.5

I152.6;Input152.6;Input152.6

I152.7;Input152.7;Input152.7

I153.0;Input153.0;Input153.0

I153.1;Input153.1;Input153.1

I153.2;Input153.2;Input153.2

I153.3;Input153.3;Input153.3

I153.4;Input153.4;Input153.4

I153.5;Input153.5;Input153.5

I153.6;Input153.6;Input153.6

I153.7;Input153.7;Input153.7

I154.0;Input154.0;Input154.0

I154.1;Input154.1;Input154.1

I154.2;Input154.2;Input154.2

I154.3;Input154.3;Input154.3

I154.4;Input154.4;Input154.4

I154.5;Input154.5;Input154.5

I154.6;Input154.6;Input154.6

I154.7;Input154.7;Input154.7

I155.0;Input155.0;Input155.0

I155.1;Input155.1;Input155.1

I155.2;Input155.2;Input155.2

I155.3;Input155.3;Input155.3

I155.4;Input155.4;Input155.4

I155.5;Input155.5;Input155.5

I155.6;Input155.6;Input155.6

I155.7;Input155.7;Input155.7

I156.0;Input156.0;Input156.0

I156.1;Input156.1;Input156.1

I156.2;Input156.2;Input156.2

I156.3;Input156.3;Input156.3

I156.4;Input156.4;Input156.4

I156.5;Input156.5;Input156.5

I156.6;Input156.6;Input156.6

I156.7;Input156.7;Input156.7

I157.0;Input157.0;Input157.0

I157.1;Input157.1;Input157.1

I157.2;Input157.2;Input157.2

I157.3;Input157.3;Input157.3

I157.4;Input157.4;Input157.4

I157.5;Input157.5;Input157.5

I157.6;Input157.6;Input157.6

I157.7;Input157.7;Input157.7

I158.0;Input158.0;Input158.0

I158.1;Input158.1;Input158.1

I158.2;Input158.2;Input158.2

I158.3;Input158.3;Input158.3

I158.4;Input158.4;Input158.4

I158.5;Input158.5;Input158.5

I158.6;Input158.6;Input158.6

I158.7;Input158.7;Input158.7

I159.0;Input159.0;Input159.0

I159.1;Input159.1;Input159.1

I159.2;Input159.2;Input159.2

I159.3;Input159.3;Input159.3

I159.4;Input159.4;Input159.4

I159.5;Input159.5;Input159.5

I159.6;Input159.6;Input159.6

I159.7;Input159.7;Input159.7

I160.0;Input160.0;Input160.0

I160.1;Input160.1;Input160.1

I160.2;Input160.2;Input160.2

I160.3;Input160.3;Input160.3

I160.4;Input160.4;Input160.4

I160.5;Input160.5;Input160.5

I160.6;Input160.6;Input160.6

I160.7;Input160.7;Input160.7

I161.0;Input161.0;Input161.0

